Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINQ26;24/06/2026;12:45:00;173.220;173.310;173.100;173.165;5.476.140.929,00;158.088
WINQ26;24/06/2026;12:30:00;173.305;173.330;172.945;173.220;14.513.461.373,00;419.121
WINQ26;24/06/2026;12:15:00;173.205;173.455;173.075;173.305;18.069.755.562,00;521.479
WINQ26;24/06/2026;12:00:00;172.950;173.225;172.765;173.210;17.529.207.940,00;506.644
WINQ26;24/06/2026;11:45:00;172.910;173.250;172.725;172.950;18.798.135.957,00;543.416
WINQ26;24/06/2026;11:30:00;172.890;172.990;172.545;172.910;19.708.994.653,00;570.411
WINQ26;24/06/2026;11:15:00;173.295;173.410;172.720;172.890;22.420.238.426,00;647.751
WINQ26;24/06/2026;11:00:00;173.295;173.660;173.105;173.290;24.216.461.883,00;698.483
WINQ26;24/06/2026;10:45:00;173.555;173.840;173.050;173.300;30.950.749.264,00;892.293
WINQ26;24/06/2026;10:30:00;174.275;174.400;173.195;173.560;42.849.027.730,00;1.234.087
WINQ26;24/06/2026;10:15:00;173.445;174.335;173.230;174.275;40.345.621.297,00;1.160.365
WINQ26;24/06/2026;10:00:00;172.985;173.715;172.210;173.445;46.503.309.579,00;1.343.298
WINQ26;24/06/2026;09:45:00;172.945;173.145;172.810;172.980;17.475.311.321,00;505.074
WINQ26;24/06/2026;09:30:00;173.070;173.155;172.820;172.940;15.796.010.017,00;456.581
WINQ26;24/06/2026;09:15:00;173.115;173.355;172.840;173.075;27.616.923.762,00;797.934
WINQ26;24/06/2026;09:00:00;174.500;174.685;173.085;173.110;38.940.432.489,00;1.120.414
WINQ26;23/06/2026;18:15:00;174.900;174.940;174.775;174.800;2.254.230.196,00;64.465
WINQ26;23/06/2026;18:00:00;174.685;174.935;174.635;174.905;4.186.625.919,00;119.747
WINQ26;23/06/2026;17:45:00;174.645;174.775;174.600;174.685;3.552.799.776,00;101.701
WINQ26;23/06/2026;17:30:00;174.600;174.675;174.500;174.650;4.275.354.624,00;122.447
WINQ26;23/06/2026;17:15:00;174.455;174.635;174.420;174.595;4.892.346.923,00;140.141
WINQ26;23/06/2026;17:00:00;174.375;174.530;174.245;174.455;8.437.940.368,00;241.960
WINQ26;23/06/2026;16:45:00;174.620;174.655;174.315;174.375;11.652.216.832,00;333.938
WINQ26;23/06/2026;16:30:00;174.600;174.775;174.500;174.620;11.277.274.375,00;322.884
WINQ26;23/06/2026;16:15:00;174.285;174.625;174.265;174.595;9.369.000.437,00;268.528
WINQ26;23/06/2026;16:00:00;174.170;174.435;174.145;174.285;9.579.363.514,00;274.827
WINQ26;23/06/2026;15:45:00;174.130;174.245;174.060;174.170;8.556.985.438,00;245.690
WINQ26;23/06/2026;15:30:00;174.175;174.325;174.085;174.125;9.760.190.828,00;280.153
WINQ26;23/06/2026;15:15:00;174.420;174.500;174.150;174.170;8.430.400.363,00;241.781
WINQ26;23/06/2026;15:00:00;174.470;174.610;174.385;174.420;7.798.505.258,00;223.466
WINQ26;23/06/2026;14:45:00;174.515;174.640;174.450;174.470;7.482.577.287,00;214.359
WINQ26;23/06/2026;14:30:00;174.525;174.535;174.385;174.515;7.138.489.911,00;204.590
WINQ26;23/06/2026;14:15:00;174.445;174.565;174.365;174.525;7.917.959.422,00;226.937
WINQ26;23/06/2026;14:00:00;174.400;174.530;174.205;174.440;11.969.883.247,00;343.225
WINQ26;23/06/2026;13:45:00;174.530;174.590;174.305;174.400;8.733.828.338,00;250.328
WINQ26;23/06/2026;13:30:00;174.450;174.720;174.370;174.530;11.486.360.493,00;329.084
WINQ26;23/06/2026;13:15:00;174.400;174.525;174.230;174.450;10.799.598.858,00;309.658
WINQ26;23/06/2026;13:00:00;173.860;174.580;173.825;174.400;16.890.237.114,00;484.740
WINQ26;23/06/2026;12:45:00;173.605;173.880;173.475;173.860;12.136.093.886,00;349.386
WINQ26;23/06/2026;12:30:00;173.840;173.905;173.520;173.610;13.250.768.479,00;381.466
WINQ26;23/06/2026;12:15:00;174.065;174.125;173.810;173.840;10.720.771.605,00;308.175
WINQ26;23/06/2026;12:00:00;173.920;174.275;173.850;174.065;17.962.804.435,00;515.882
WINQ26;23/06/2026;11:45:00;173.805;174.185;173.745;173.920;21.170.845.594,00;608.492
WINQ26;23/06/2026;11:30:00;173.745;173.920;173.520;173.805;19.745.331.005,00;568.328
WINQ26;23/06/2026;11:15:00;173.075;173.800;172.975;173.745;27.745.163.120,00;799.662
WINQ26;23/06/2026;11:00:00;172.870;173.430;172.790;173.075;29.292.374.822,00;845.700
WINQ26;23/06/2026;10:45:00;172.365;172.960;172.205;172.865;29.663.464.951,00;859.419
WINQ26;23/06/2026;10:30:00;172.285;173.100;172.230;172.370;49.585.081.153,00;1.435.440
WINQ26;23/06/2026;10:15:00;171.985;172.340;171.520;172.285;39.108.406.064,00;1.137.662
WINQ26;23/06/2026;10:00:00;171.690;172.015;171.400;171.985;31.730.982.005,00;924.104
WINQ26;23/06/2026;09:45:00;171.835;171.870;171.450;171.685;19.680.699.009,00;573.325
WINQ26;23/06/2026;09:30:00;171.705;171.975;171.635;171.835;16.259.420.518,00;473.182
WINQ26;23/06/2026;09:15:00;171.820;172.050;171.685;171.700;18.843.157.950,00;548.188
WINQ26;23/06/2026;09:00:00;172.205;172.685;171.440;171.820;34.758.212.175,00;1.010.787
WINQ26;22/06/2026;18:15:00;173.625;173.665;173.455;173.490;2.288.900.102,00;65.942
WINQ26;22/06/2026;18:00:00;173.665;173.680;173.585;173.620;1.934.809.384,00;55.717
WINQ26;22/06/2026;17:45:00;173.555;173.695;173.530;173.665;2.925.139.476,00;84.250
WINQ26;22/06/2026;17:30:00;173.415;173.585;173.410;173.555;3.607.137.339,00;103.945
WINQ26;22/06/2026;17:15:00;173.380;173.445;173.330;173.420;3.449.804.405,00;99.479
WINQ26;22/06/2026;17:00:00;173.515;173.540;173.270;173.380;8.217.576.836,00;236.945
WINQ26;22/06/2026;16:45:00;173.585;173.665;173.455;173.510;8.393.749.664,00;241.792
WINQ26;22/06/2026;16:30:00;173.705;173.760;173.510;173.580;9.947.519.934,00;286.430
WINQ26;22/06/2026;16:15:00;173.800;173.835;173.705;173.710;5.569.052.429,00;160.245
WINQ26;22/06/2026;16:00:00;173.565;173.890;173.505;173.805;12.403.857.554,00;356.976
WINQ26;22/06/2026;15:45:00;173.610;173.700;173.535;173.560;5.922.132.431,00;170.558
WINQ26;22/06/2026;15:30:00;173.575;173.645;173.470;173.610;7.394.536.146,00;213.007
WINQ26;22/06/2026;15:15:00;173.555;173.670;173.475;173.575;8.769.142.099,00;252.609
WINQ26;22/06/2026;15:00:00;173.345;173.640;173.335;173.550;10.626.241.227,00;306.265
WINQ26;22/06/2026;14:45:00;173.255;173.425;173.230;173.345;7.801.274.407,00;225.019
WINQ26;22/06/2026;14:30:00;173.410;173.435;173.170;173.260;11.375.558.173,00;328.215
WINQ26;22/06/2026;14:15:00;173.605;173.770;173.390;173.405;10.610.060.682,00;305.603
WINQ26;22/06/2026;14:00:00;173.615;173.725;173.545;173.605;6.963.518.857,00;200.540
WINQ26;22/06/2026;13:45:00;173.505;173.730;173.465;173.620;9.420.265.061,00;271.341
WINQ26;22/06/2026;13:30:00;173.240;173.575;173.235;173.510;9.137.291.446,00;263.390
WINQ26;22/06/2026;13:15:00;172.995;173.360;172.960;173.245;10.916.386.051,00;315.140
WINQ26;22/06/2026;13:00:00;173.215;173.260;172.960;173.000;9.006.563.698,00;260.203
WINQ26;22/06/2026;12:45:00;173.525;173.550;173.200;173.215;10.551.518.698,00;304.381
WINQ26;22/06/2026;12:30:00;173.480;173.575;173.310;173.525;9.624.955.171,00;277.460
WINQ26;22/06/2026;12:15:00;173.615;173.640;173.330;173.485;11.708.436.283,00;337.469
WINQ26;22/06/2026;12:00:00;173.705;173.845;173.410;173.620;16.674.056.895,00;480.147
WINQ26;22/06/2026;11:45:00;173.030;173.765;173.025;173.700;18.529.332.145,00;534.300
WINQ26;22/06/2026;11:30:00;173.270;173.305;172.905;173.025;19.949.186.622,00;576.352
WINQ26;22/06/2026;11:15:00;173.235;173.385;173.010;173.270;21.169.535.610,00;611.237
WINQ26;22/06/2026;11:00:00;172.890;173.325;172.670;173.235;24.192.695.689,00;699.556
WINQ26;22/06/2026;10:45:00;172.320;173.195;172.165;172.885;27.328.161.114,00;790.849
WINQ26;22/06/2026;10:30:00;173.280;173.290;172.160;172.320;42.311.138.828,00;1.225.677
WINQ26;22/06/2026;10:15:00;172.860;173.480;172.775;173.275;38.298.144.930,00;1.106.131
WINQ26;22/06/2026;10:00:00;171.385;172.865;171.305;172.865;46.191.999.458,00;1.342.509
WINQ26;22/06/2026;09:45:00;171.410;171.590;171.235;171.385;17.173.691.350,00;500.984
WINQ26;22/06/2026;09:30:00;171.175;171.500;171.130;171.410;19.347.618.207,00;564.678
WINQ26;22/06/2026;09:15:00;170.880;171.520;170.840;171.175;27.904.056.418,00;814.981
WINQ26;22/06/2026;09:00:00;171.590;171.605;170.210;170.885;38.646.207.915,00;1.131.693
WINQ26;19/06/2026;18:15:00;171.590;171.925;171.490;171.645;1.886.205.876,00;54.937
WINQ26;19/06/2026;18:00:00;171.360;171.590;171.350;171.590;1.737.010.992,00;50.650
WINQ26;19/06/2026;17:45:00;171.310;171.400;171.275;171.355;2.310.713.831,00;67.429
WINQ26;19/06/2026;17:30:00;171.370;171.440;171.290;171.310;2.266.884.909,00;66.141
WINQ26;19/06/2026;17:15:00;171.400;171.405;171.290;171.375;2.677.842.540,00;78.141
WINQ26;19/06/2026;17:00:00;171.350;171.490;171.255;171.395;6.610.034.522,00;192.865
WINQ26;19/06/2026;16:45:00;171.285;171.625;171.285;171.350;8.766.657.190,00;255.696
WINQ26;19/06/2026;16:30:00;171.490;171.500;171.250;171.285;6.584.302.697,00;192.100
WINQ26;19/06/2026;16:15:00;171.500;171.570;171.445;171.495;4.172.118.179,00;121.632
WINQ26;19/06/2026;16:00:00;171.660;171.705;171.445;171.495;7.927.526.828,00;231.064
WINQ26;19/06/2026;15:45:00;171.715;171.745;171.635;171.655;4.054.397.292,00;118.074
WINQ26;19/06/2026;15:30:00;171.780;171.780;171.580;171.715;6.672.573.910,00;194.341
WINQ26;19/06/2026;15:15:00;171.770;171.825;171.670;171.785;5.595.471.096,00;162.898
WINQ26;19/06/2026;15:00:00;171.765;171.810;171.635;171.770;7.194.518.679,00;209.484
WINQ26;19/06/2026;14:45:00;171.695;171.920;171.595;171.765;9.730.365.542,00;283.251
WINQ26;19/06/2026;14:30:00;171.305;171.760;171.280;171.690;10.582.205.233,00;308.483
WINQ26;19/06/2026;14:15:00;171.115;171.390;171.095;171.305;7.878.401.342,00;229.989
WINQ26;19/06/2026;14:00:00;171.030;171.170;171.000;171.110;4.558.584.967,00;133.218
WINQ26;19/06/2026;13:45:00;171.130;171.195;170.975;171.030;6.406.050.734,00;187.225
WINQ26;19/06/2026;13:30:00;171.345;171.375;171.025;171.135;7.271.010.012,00;212.397
WINQ26;19/06/2026;13:15:00;171.185;171.370;171.145;171.340;4.982.295.369,00;145.453
WINQ26;19/06/2026;13:00:00;171.305;171.405;171.135;171.185;7.114.614.423,00;207.718
WINQ26;19/06/2026;12:45:00;171.375;171.480;171.215;171.300;8.262.089.220,00;241.107
WINQ26;19/06/2026;12:30:00;171.470;171.510;171.320;171.370;6.906.003.266,00;201.472
WINQ26;19/06/2026;12:15:00;171.640;171.700;171.415;171.470;7.770.912.263,00;226.488
WINQ26;19/06/2026;12:00:00;171.530;171.735;171.445;171.640;9.287.125.820,00;270.615
WINQ26;19/06/2026;11:45:00;171.485;171.605;171.285;171.530;10.391.649.963,00;303.055
WINQ26;19/06/2026;11:30:00;171.540;171.670;171.345;171.480;12.203.948.399,00;355.788
WINQ26;19/06/2026;11:15:00;171.540;171.620;171.285;171.540;16.769.075.064,00;489.029
WINQ26;19/06/2026;11:00:00;170.770;171.650;170.745;171.535;23.258.695.014,00;678.889
WINQ26;19/06/2026;10:45:00;171.390;171.400;170.730;170.765;24.655.220.273,00;720.700
WINQ26;19/06/2026;10:30:00;171.525;171.570;171.145;171.385;25.069.594.971,00;731.348
WINQ26;19/06/2026;10:15:00;171.530;171.865;171.285;171.520;25.636.373.795,00;747.004
WINQ26;19/06/2026;10:00:00;171.450;171.945;171.370;171.525;25.152.986.103,00;732.839
WINQ26;19/06/2026;09:45:00;171.305;171.620;171.090;171.455;22.372.300.225,00;652.607
WINQ26;19/06/2026;09:30:00;170.895;171.335;170.875;171.305;17.073.353.332,00;498.915
WINQ26;19/06/2026;09:15:00;171.155;171.200;170.855;170.895;20.730.115.923,00;606.097
WINQ26;19/06/2026;09:00:00;171.700;171.735;171.025;171.155;22.519.947.824,00;657.219
WINQ26;18/06/2026;18:15:00;171.800;172.015;171.760;172.015;1.516.257.720,00;44.099
WINQ26;18/06/2026;18:00:00;171.755;171.910;171.715;171.800;2.621.384.358,00;76.289
WINQ26;18/06/2026;17:45:00;171.650;171.790;171.625;171.755;1.985.195.130,00;57.813
WINQ26;18/06/2026;17:30:00;171.625;171.685;171.590;171.650;2.301.807.244,00;67.050
WINQ26;18/06/2026;17:15:00;171.620;171.640;171.510;171.630;3.079.226.740,00;89.736
WINQ26;18/06/2026;17:00:00;171.510;171.670;171.435;171.615;6.169.567.493,00;179.813
WINQ26;18/06/2026;16:45:00;171.470;171.595;171.390;171.510;8.000.987.453,00;233.265
WINQ26;18/06/2026;16:30:00;171.555;171.565;171.285;171.470;8.243.947.694,00;240.459
WINQ26;18/06/2026;16:15:00;171.465;171.695;171.420;171.560;8.983.899.648,00;261.842
WINQ26;18/06/2026;16:00:00;171.545;171.620;171.420;171.465;8.786.303.775,00;256.140
WINQ26;18/06/2026;15:45:00;171.615;171.675;171.455;171.545;8.322.303.322,00;242.518
WINQ26;18/06/2026;15:30:00;171.590;171.800;171.545;171.610;13.775.143.665,00;401.259
WINQ26;18/06/2026;15:15:00;171.335;171.615;171.290;171.590;11.588.992.557,00;337.853
WINQ26;18/06/2026;15:00:00;171.415;171.460;171.080;171.335;14.257.531.557,00;416.237
WINQ26;18/06/2026;14:45:00;171.275;171.480;171.230;171.410;8.716.267.788,00;254.318
WINQ26;18/06/2026;14:30:00;171.345;171.465;171.200;171.270;9.820.592.056,00;286.557
WINQ26;18/06/2026;14:15:00;171.355;171.575;171.310;171.345;9.422.757.231,00;274.789
WINQ26;18/06/2026;14:00:00;171.425;171.615;171.275;171.355;11.596.145.399,00;338.183
WINQ26;18/06/2026;13:45:00;171.285;171.460;171.250;171.425;7.482.947.911,00;218.352
WINQ26;18/06/2026;13:30:00;171.370;171.425;171.205;171.290;8.403.774.237,00;245.311
