Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINQ26;24/06/2026;174.500;174.685;172.210;173.145;401.310.482.222,00;11.578.347
WINQ26;23/06/2026;172.205;174.940;171.400;174.800;578.095.746.292,00;16.683.847
WINQ26;22/06/2026;171.590;173.890;170.210;173.490;556.281.252.734,00;16.102.015
WINQ26;19/06/2026;171.700;171.945;170.730;171.645;405.039.177.618,00;11.816.358
WINQ26;18/06/2026;171.800;172.890;170.230;172.015;579.642.285.704,00;16.886.879
WINQ26;17/06/2026;172.820;175.330;171.160;171.480;683.102.795.757,00;19.660.247
WINQ26;16/06/2026;174.200;174.455;172.500;172.825;17.005.846.267,00;490.994
WINQ26;15/06/2026;176.395;177.995;173.860;173.860;6.220.103.382,00;176.956
WINQ26;12/06/2026;175.530;176.260;173.360;174.600;2.365.875.926,00;67.615
WINQ26;11/06/2026;173.000;175.830;171.970;175.330;2.017.041.761,00;58.121
WINQ26;10/06/2026;172.545;173.350;171.840;172.200;577.484.079,00;16.748
WINQ26;09/06/2026;173.180;174.650;172.190;173.500;882.918.680,00;25.460
WINQ26;08/06/2026;173.685;173.745;172.070;172.800;653.764.588,00;18.922
WINQ26;05/06/2026;174.455;175.105;172.500;172.960;735.950.013,00;21.200
WINQ26;03/06/2026;178.405;178.600;174.105;174.200;1.586.949.245,00;45.204
WINQ26;02/06/2026;176.395;179.325;176.395;178.785;660.520.499,00;18.547
WINQ26;01/06/2026;178.555;179.800;176.145;176.350;557.825.655,00;15.761
WINQ26;29/05/2026;179.650;179.935;177.240;178.400;725.297.307,00;20.321
WINQ26;28/05/2026;179.865;181.510;179.055;179.210;657.684.741,00;18.235
WINQ26;27/05/2026;181.050;183.180;180.250;180.385;459.598.220,00;12.659
WINQ26;26/05/2026;182.765;182.785;180.340;181.245;361.666.238,00;9.975
WINQ26;25/05/2026;182.740;183.845;181.435;182.995;243.872.456,00;6.678
WINQ26;22/05/2026;182.260;182.455;179.920;181.355;257.256.018,00;7.098
WINQ26;21/05/2026;181.960;183.920;180.915;182.455;448.819.930,00;12.318
WINQ26;20/05/2026;180.175;183.500;179.925;182.170;367.692.685,00;10.107
WINQ26;19/05/2026;181.890;182.355;178.800;179.920;886.235.460,00;24.614
