Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINQ26;22/06/2026;171.590;174.940;170.210;173.135;1.535.690.286.194,00;44.364.290
WINQ26;15/06/2026;176.395;177.995;170.230;171.645;1.691.010.208.728,00;49.031.434
WINQ26;08/06/2026;173.685;176.260;171.840;174.600;6.497.085.034,00;186.866
WINQ26;01/06/2026;178.555;179.800;172.500;172.960;3.541.245.412,00;100.712
WINQ26;25/05/2026;182.740;183.845;177.240;178.400;2.448.118.962,00;67.868
WINQ26;18/05/2026;182.660;183.920;178.800;181.355;2.226.311.853,00;61.446
WINQ26;11/05/2026;190.930;190.930;180.825;182.860;3.767.440.735,00;102.095
WINQ26;04/05/2026;193.220;196.420;188.900;190.795;4.493.261.574,00;117.018
WINQ26;27/04/2026;198.460;199.170;190.745;193.855;2.521.854.198,00;65.010
WINQ26;20/04/2026;203.445;204.715;197.410;198.325;1.902.168.618,00;47.387
WINQ26;13/04/2026;205.250;207.535;203.330;203.465;1.533.919.921,00;37.367
WINQ26;06/04/2026;197.500;206.000;194.500;205.995;30.871.877,00;769
WINQ26;30/03/2026;190.700;197.650;190.700;195.925;13.031.847,00;333
WINQ26;23/03/2026;187.075;195.000;186.800;189.800;7.320.926,00;191
WINQ26;16/03/2026;189.720;191.905;184.100;186.800;14.581.863,00;387
WINQ26;09/03/2026;188.190;195.065;187.005;187.250;10.211.862,00;265
WINQ26;02/03/2026;199.000;200.925;188.535;189.500;22.416.503,00;580
WINQ26;23/02/2026;200.960;203.625;199.600;199.600;1.003.116.990,00;25.035
WINQ26;19/02/2026;197.345;202.000;197.345;201.595;1.996.048,00;50
WINQ26;13/02/2026;197.540;197.545;197.540;197.545;370.626.688,00;9.381
